Date/Time,Environment:Outdoor Dry Bulb [C](TimeStep),ZN001:WALL001:WIN001:Surface Ext Solar Incident[W/m2](TimeStep),ZN001:WALL001:WIN001:Window Solar Absorbed:All Glass Layers [W](TimeStep),ZN001:WALL001:WIN001:Window Transmitted Solar [W](TimeStep),ZN001:WALL001:WIN001:Window Heat Gain [W](TimeStep),ZN001:WALL001:WIN001:Window Heat Loss [W](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Storm Window On/Off Flag [](TimeStep),WEST ZONE:Zone/Sys Sensible Heating Rate [W](TimeStep),WEST ZONE:Zone/Sys Sensible Cooling Rate [W](TimeStep),WEST ZONE:Zone/Sys Air Temperature [C](TimeStep),EAST ZONE:Zone/Sys Sensible Heating Rate [W](TimeStep),EAST ZONE:Zone/Sys Sensible Cooling Rate [W](TimeStep),EAST ZONE:Zone/Sys Air Temperature [C](TimeStep),NORTH ZONE:Zone/Sys Sensible Heating Rate [W](TimeStep),NORTH ZONE:Zone/Sys Sensible Cooling Rate [W](TimeStep),NORTH ZONE:Zone/Sys Air Temperature [C](TimeStep) 
 07/21  01:10:00,22.0126666666667,0.0,0.0,0.0,0.0,423.300052956942,24.217717862824,24.076864998175,0.0,0.0,0.0,29.8908931913507,0.0,0.0,29.4644302138621,0.0,0.0,29.7212696363281 
 07/21  01:20:00,21.9413333333333,0.0,0.0,0.0,0.0,423.521814391537,24.1511076434896,24.010111744963,0.0,0.0,0.0,29.8189627893229,0.0,0.0,29.4018409901922,0.0,0.0,29.64515297378 
 07/21  01:30:00,21.87,0.0,0.0,0.0,0.0,423.595113493203,24.0830288925199,23.941981084584,0.0,0.0,0.0,29.7473268938805,0.0,0.0,29.3380334963733,0.0,0.0,29.5698549409389 
 07/21  01:40:00,21.7986666666667,0.0,0.0,0.0,0.0,423.659163637985,24.0148371467695,23.8737604778426,0.0,0.0,0.0,29.6785379827157,0.0,0.0,29.2726833562599,0.0,0.0,29.4944007385219 
 07/21  01:50:00,21.7273333333333,0.0,0.0,0.0,0.0,423.756394951031,23.9469551711566,23.8058464618141,0.0,0.0,0.0,29.611601480761,0.0,0.0,29.2084094397899,0.0,0.0,29.4179878340009 
 07/21  02:00:00,21.656,0.0,0.0,0.0,0.0,423.878148090567,23.8793084329336,23.7381608615968,0.0,0.0,0.0,29.5452959920244,0.0,0.0,29.1468148746537,0.0,0.0,29.3397737518586 
 07/21  02:10:00,21.6025,0.0,0.0,0.0,0.0,423.273826036887,23.8218953816976,23.6808742104646,0.0,0.0,0.0,29.479656807349,0.0,0.0,29.0876476060563,0.0,0.0,29.264696591236 
 07/21  02:20:00,21.549,0.0,0.0,0.0,0.0,422.682034246505,23.7646137826447,23.623771970851,0.0,0.0,0.0,29.4148804868114,0.0,0.0,29.0299422668994,0.0,0.0,29.1941128080734 
 07/21  02:30:00,21.4955,0.0,0.0,0.0,0.0,422.106547902618,23.7074737650736,23.5668204311515,0.0,0.0,0.0,29.3509771760019,0.0,0.0,28.9729616781191,0.0,0.0,29.1269549574925 
 07/21  02:40:00,21.442,0.0,0.0,0.0,0.0,421.547910926283,23.6504895231719,23.5100227050261,0.0,0.0,0.0,29.287846579871,0.0,0.0,28.9164164757167,0.0,0.0,29.0618001209255 
 07/21  02:50:00,21.3885,0.0,0.0,0.0,0.0,421.005339565659,23.593656527303,23.4533717219695,0.0,0.0,0.0,29.2254005248122,0.0,0.0,28.8602808039812,0.0,0.0,28.9978381550612 
 07/21  03:00:00,21.335,0.0,0.0,0.0,0.0,420.47811841978,23.5369684025914,23.3968606549919,0.0,0.0,0.0,29.1636017023126,0.0,0.0,28.8045836172847,0.0,0.0,28.9348398656863 
 07/21  03:10:00,21.2815,0.0,0.0,0.0,0.0,419.966096781807,23.4804239024178,23.340488174924,0.0,0.0,0.0,29.1024444553528,0.0,0.0,28.7493211746253,0.0,0.0,28.8728109503192 
 07/21  03:20:00,21.228,0.0,0.0,0.0,0.0,419.469477308114,23.4240250869821,23.284256265847,0.0,0.0,0.0,29.0419292209938,0.0,0.0,28.6944606958819,0.0,0.0,28.8117588117094 
 07/21  03:30:00,21.1745,0.0,0.0,0.0,0.0,418.988479708792,23.3677741959323,23.2281670932069,0.0,0.0,0.0,28.9820523696347,0.0,0.0,28.6399666945723,0.0,0.0,28.7516380910363 
 07/21  03:40:00,21.121,0.0,0.0,0.0,0.0,418.523207348098,23.3116721554399,23.1722215407465,0.0,0.0,0.0,28.9228080799514,0.0,0.0,28.5858142951787,0.0,0.0,28.6923822235135 
 07/21  03:50:00,21.0675,0.0,0.0,0.0,0.0,418.073635709084,23.2557192901056,23.1164199295148,0.0,0.0,0.0,28.8641933523592,0.0,0.0,28.5319880042338,0.0,0.0,28.6339382438493 
 07/21  04:00:00,21.014,0.0,0.0,0.0,0.0,417.639739970587,23.1999152815325,23.0607619473893,0.0,0.0,0.0,28.8062118368866,0.0,0.0,28.4784760014775,0.0,0.0,28.5762792871204 
 07/21  04:10:00,20.9783333333333,0.0,0.0,0.0,0.0,416.489257541516,23.1544050518894,23.0155608990733,0.0,0.0,0.0,28.7492852758413,0.0,0.0,28.4252665664127,0.0,0.0,28.5194045941681 
 07/21  04:20:00,20.9426666666667,0.0,0.0,0.0,0.0,415.361417849659,23.1091287225186,22.9706435017152,0.0,0.0,0.0,28.6934727166662,0.0,0.0,28.3723478900789,0.0,0.0,28.4633451473651 
 07/21  04:30:00,20.907,0.0,0.0,0.0,0.0,414.257865396408,23.0640699918789,22.9259500633124,0.0,0.0,0.0,28.638630622916,0.0,0.0,28.319710095405,0.0,0.0,28.4082011322675 
 07/21  04:40:00,20.8713333333333,2.295165166568604E-022,1.884214394183906E-022,1.881383990524798E-021,0.0,413.176178346344,23.0192144306383,22.8814559314409,0.0,0.0,0.0,28.5847215756545,0.0,0.0,28.2673468179746,0.0,0.0,28.3545434815667 
 07/21  04:50:00,20.8356666666667,0.17874070318907,0.146737067415027,1.46516643914485,0.0,410.61581466987,22.9753866185496,22.8379784788737,0.0,0.0,0.0,28.5322108488192,0.0,0.0,28.2152551195454,0.0,0.0,28.3009451385975 
 07/21  05:00:00,20.8,3.60795171775866,2.96194568440798,29.5749634895597,0.0,380.817973888979,22.9469943710037,22.8098377725579,0.0,0.0,0.0,28.4820301916696,0.0,0.0,28.1634348701677,0.0,0.0,28.2468153214269 
 07/21  05:10:00,20.8356666666667,10.6676892687808,8.75763276896053,87.4447734677985,0.0,317.797616816104,22.9777335759285,22.8413569684183,0.0,0.0,0.0,28.4373994860747,0.0,0.0,28.1118987265888,0.0,0.0,28.1922859399984 
 07/21  05:20:00,20.8713333333333,18.789255252657,15.4250272349598,154.018562764625,0.0,246.14366842864,23.0162619314411,22.8807811801174,0.0,0.0,0.0,28.3994284792373,0.0,0.0,28.0607348422219,0.0,0.0,28.1377537080317 
 07/21  05:30:00,20.907,28.8946756665584,23.7210657425588,236.854327532966,0.0,158.105316675231,23.0665103451055,22.9318428281312,0.0,0.0,0.0,28.3679710620021,0.0,0.0,28.0102659446931,0.0,0.0,28.0837338151168 
 07/21  05:40:00,20.9426666666667,36.8654831209446,30.2646950889717,302.192324792039,0.0,88.2707495553885,23.1097093764376,22.9758319650934,0.0,0.0,0.0,28.3410450534485,0.0,0.0,27.9612523984268,0.0,0.0,28.0310248325101 
 07/21  05:50:00,20.9783333333333,44.1642350832914,36.2566009035726,362.021374538818,0.0,24.2340645461136,23.1512667743236,23.0181397389146,0.0,0.0,0.0,28.3169268155566,0.0,0.0,27.9149952086558,0.0,0.0,27.9808819980147 
 07/21  06:00:00,21.014,50.8315595600146,41.7301367225735,416.67451110979,34.353442785036,0.0,23.1913288920727,23.0589171592526,0.0,0.0,0.0,28.295105126599,0.0,0.0,27.8732359497185,0.0,0.0,27.9349772162884 
 07/21  06:10:00,21.1388333333333,56.9030782761654,46.7145461786615,466.443731543783,91.5535025069294,0.0,23.2824832945994,23.1515481367239,0.0,0.0,0.0,28.2947188397484,0.0,0.0,28.077876721991,0.0,0.0,28.0036005065466 
 07/21  06:20:00,21.2636666666667,62.5208434324158,51.3264469362776,512.493460693774,144.409494765233,0.0,23.3741433197794,23.244891992599,0.0,0.0,0.0,28.2992306639069,0.0,0.0,28.2897039293105,0.0,0.0,28.084040801725 
 07/21  06:30:00,21.3885,67.7081949797123,55.584999913413,555.015019910788,193.446622392316,0.0,23.4657531387986,23.3381950859774,0.0,0.0,0.0,28.298874204265,0.0,0.0,28.3833482058615,0.0,0.0,28.1174075274106 
 07/21  06:40:00,21.5133333333333,72.5183676490743,59.5339081288824,594.444782890886,239.239481617804,0.0,23.5563833927757,23.4305100711564,0.0,0.0,0.0,28.2953993309034,0.0,0.0,28.3924149721672,0.0,0.0,28.1150631476123 
 07/21  06:50:00,21.6381666666667,76.9955710602118,63.2094654420699,631.145143033727,282.141725363792,0.0,23.6464032501543,23.5221945042004,0.0,0.0,0.0,28.2937874143453,0.0,0.0,28.3874006865105,0.0,0.0,28.1080902747155 
 07/21  07:00:00,21.763,81.1761037609913,66.6414711229255,665.413645404172,322.392153638355,0.0,23.7366100241758,23.6140250216243,0.0,0.0,0.0,28.2968061198402,0.0,0.0,28.4044248785799,0.0,0.0,28.1140726191654 
 07/21  07:10:00,22.0661666666667,85.0896035726951,69.8542563221156,697.493236014503,367.919675129911,0.0,23.9359326541478,23.8164119012225,0.0,0.0,2305.76118624913,22.8736401444869,0.0,2940.72433250019,23.0084922994765,0.0,3548.62719890279,22.8941493553701 
 07/21  07:20:00,22.3693333333333,88.7602050317317,72.8676342720648,727.581749561234,463.474271156457,0.0,23.6263114865524,23.5269138071558,0.0,0.0,297.028023473889,22.9999999999982,0.0,1043.84471412052,22.999999999999,0.0,561.190278621594,22.9999999999901 
 07/21  07:30:00,22.6725,92.2075368904543,75.6977191846225,755.840086100575,511.114575285648,0.0,23.7566345016685,23.6634994135313,0.0,0.0,2134.39389238504,22.9999999999994,0.0,2812.81865736344,22.9999999999997,0.0,3232.43023530945,22.9999999999976 
 07/21  07:40:00,22.9756666666667,106.396678024399,83.2147065857464,826.410157910697,597.278401579717,0.0,23.9592242073952,23.8707774722718,0.0,0.0,1669.23799737751,22.9999999999999,0.0,2419.51939772852,22.9999999999999,0.0,2594.3616459512,22.9999999999997 
 07/21  07:50:00,23.2788333333333,129.921585096479,95.6750561300724,889.236177616494,676.859361624457,0.0,24.1990599025393,24.114621353734,0.0,0.0,1665.41322312357,23.0000000000001,0.0,2429.10476179425,23.,0.0,2609.16543767263,23.0000000000001 
 07/21  08:00:00,23.582,153.38880525796,114.915363236025,974.03964387788,780.201268265486,0.0,24.4827097693128,24.401803369581,0.0,0.0,1660.10379090498,23.,0.0,2444.85536550342,23.0000000000002,0.0,2619.20257479667,23. 
 07/21  08:10:00,23.9208333333333,176.660661764681,138.144010364857,1079.14538781121,929.257117744696,0.0,25.1535073821746,25.0667652325063,0.0,0.0,3833.65218838553,23.,0.0,3588.71919555828,22.9999999999998,0.0,4827.40852699862,23. 
 07/21  08:20:00,24.2596666666667,199.614433930818,163.30870798647,1202.10049203874,1069.41077020303,0.0,25.5302460218587,25.4450819565577,0.0,0.0,3869.7626067549,23.0000000000005,0.0,3626.98350812317,22.9999999999999,0.0,4874.40371451988,23. 
 07/21  08:30:00,24.5985,222.140004144019,188.965435012985,1339.97549124142,1226.28916139468,0.0,25.8936427656423,25.8112717152475,0.0,0.0,3900.9416474361,23.0000000000002,0.0,3662.73845282381,23.,0.0,4914.15050486096,22.9999999999998 
 07/21  08:40:00,24.9373333333333,244.137997391555,214.149642336789,1489.61137713577,1394.50522940638,0.0,26.2536126949636,26.1742136050206,0.0,0.0,3934.44043542027,23.0000000000001,0.0,3699.57266200681,23.0000000000002,0.0,4953.86605983022,22.9999999999999 
 07/21  08:50:00,25.2761666666667,265.518309265812,238.259426434392,1647.81217686162,1570.53864364013,0.0,26.6080933598867,26.5317043372378,0.0,0.0,3971.02815826564,23.0000000000003,0.0,3737.87916757314,22.9999999999998,0.0,4994.36317233261,23. 
 07/21  09:00:00,25.615,286.198941114687,260.955570904527,1811.48681292388,1751.17779768759,0.0,26.9556415175967,26.8822796428082,0.0,0.0,4010.89256240329,23.0000000000001,0.0,3777.74833409207,22.9999999999999,0.0,5035.87006693302,23. 
 07/21  09:10:00,25.9181666666667,304.914708641271,281.102827252644,1967.98866980958,1922.02560303471,0.0,27.269525108428,27.1988169600592,0.0,0.0,4052.97821524777,23.,0.0,3819.15828525134,23.,0.0,5078.40484376957,23.0000000000002 
 07/21  09:20:00,26.2213333333333,323.45190746701,300.183412692766,2129.89363623561,2097.61192325623,0.0,27.5785026635845,27.5103882651908,0.0,0.0,4098.08689338558,23.,0.0,3862.03183230628,23.0000000000002,0.0,5121.89422089817,23.0000000000001 
