Date/Time,Electricity:Facility [J](RunPeriod),ElectricityPurchased:Facility [J](RunPeriod),ElectricitySurplusSold:Facility [J](RunPeriod),ElectricityNet:Facility [J](RunPeriod),Source:Facility [J](RunPeriod),CO2:Facility [kg](RunPeriod),Electricity:Building [J](RunPeriod),Electricity:Plant [J](RunPeriod),Electricity:HVAC [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Pumps:Electricity [J](RunPeriod),Heating:Electricity [J](RunPeriod),Gas:Facility [J](RunPeriod),InteriorEquipment:Gas [J](RunPeriod),Heating:Gas [J](RunPeriod),Gas:Plant [J](RunPeriod),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/04  01:00:00,,,,,,,,,,,,,,,,,,,,1702447.2,1702447.2,189863.64 
 01/04  02:00:00,,,,,,,,,,,,,,,,,,,,1702447.2,1702447.2,189863.64 
 01/04  03:00:00,,,,,,,,,,,,,,,,,,,,1702447.2,1702447.2,189863.64 
 01/04  04:00:00,,,,,,,,,,,,,,,,,,,,1702447.2,1702447.2,189863.64 
 01/04  05:00:00,,,,,,,,,,,,,,,,,,,,1702447.2,1702447.2,189863.64 
 01/04  06:00:00,,,,,,,,,,,,,,,,,,,,1702447.2,1702447.2,189863.64 
 01/04  07:00:00,,,,,,,,,,,,,,,,,,,,21329896.6337615,21329896.6337615,236893221.233651 
 01/04  08:00:00,,,,,,,,,,,,,,,,,,,,21010331.7202295,21010331.7202295,137233765.511868 
 01/04  09:00:00,,,,,,,,,,,,,,,,,,,,42138897.0232475,42138897.0232475,75424392.5488634 
 01/04  10:00:00,,,,,,,,,,,,,,,,,,,,42043801.3285656,42043801.3285656,58745145.252854 
 01/04  11:00:00,,,,,,,,,,,,,,,,,,,,41976019.6444758,41976019.6444758,43666905.3818062 
 01/04  12:00:00,,,,,,,,,,,,,,,,,,,,57006203.3990411,57006203.3990411,10003314.201437 
 01/04  13:00:00,,,,,,,,,,,,,,,,,,,,56987074.4469853,56987074.4469853,4383429.45588002 
 01/04  14:00:00,,,,,,,,,,,,,,,,,,,,56975599.1586596,56975599.1586596,919322.444295513 
 01/04  15:00:00,,,,,,,,,,,,,,,,,,,,56975385.3887432,56975385.3887432,854386.38 
